Latitude (decimal degrees):	28.482
Longitude (decimal degrees):	-16.306
Elevation (m):	503
Radiation database:	PVGIS-SARAH3


Slope: 26 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	5.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20231022:0909,1651.35,411.85,23.82,22.01,8.0,0.0
20231022:1009,2897.05,724.19,34.75,21.54,4.41,0.0
20231022:1109,2836.35,712.5,43.71,21.57,4.28,0.0
20231022:1209,1752.05,442.0,49.36,21.49,3.93,0.0
20231022:1309,1419.15,360.32,50.24,21.41,4.28,0.0
20231022:1409,3522.05,885.19,46.06,21.44,5.38,0.0
20231022:1509,3150.65,783.08,38.04,21.44,5.72,0.0
20231022:1609,1940.55,481.3,27.65,21.49,6.28,0.0
20231022:1709,654.6,177.71,15.91,21.56,7.24,0.0
20231022:1809,32.05,18.54,3.4,21.47,7.59,0.0
20231022:1909,0.0,0.0,0.0,21.42,7.59,0.0
20231022:2009,0.0,0.0,0.0,21.49,8.07,0.0
20231022:2109,0.0,0.0,0.0,21.46,7.93,0.0
20231022:2209,0.0,0.0,0.0,21.44,5.17,0.0
20231022:2309,0.0,0.0,0.0,21.3,5.52,0.0
20231023:0009,0.0,0.0,0.0,20.98,6.76,0.0
20231023:0109,0.0,0.0,0.0,20.7,6.9,0.0
20231023:0209,0.0,0.0,0.0,20.82,6.55,0.0
20231023:0309,0.0,0.0,0.0,20.87,5.86,0.0
20231023:0409,0.0,0.0,0.0,20.9,5.86,0.0
20231023:0509,0.0,0.0,0.0,20.88,6.28,0.0
20231023:0609,0.0,0.0,0.0,20.84,6.55,0.0
20231023:0709,0.0,0.0,0.0,20.85,5.86,0.0
20231023:0809,743.75,206.28,11.6,20.94,5.38,0.0
20231023:0909,1703.45,425.61,23.62,21.15,5.38,0.0
20231023:1009,2458.65,614.53,34.51,21.52,4.0,0.0
20231023:1109,3532.05,897.48,43.43,21.58,4.07,0.0
20231023:1209,3967.7,1011.2,49.03,21.52,4.9,0.0
20231023:1309,3920.5,998.3,49.89,21.48,4.9,0.0
20231023:1409,3680.95,926.84,45.73,21.43,5.38,0.0
20231023:1509,2938.6,729.84,37.75,21.35,5.52,0.0
20231023:1609,2283.35,565.05,27.4,21.36,6.0,0.0
20231023:1709,1237.75,323.66,15.69,21.4,6.34,0.0
20231023:1809,29.3,17.62,3.2,21.33,6.0,0.0
20231023:1909,0.0,0.0,0.0,21.29,5.52,0.0
20231023:2009,0.0,0.0,0.0,21.33,5.66,0.0
20231023:2109,0.0,0.0,0.0,21.38,6.0,0.0
20231023:2209,0.0,0.0,0.0,21.11,5.45,0.0
20231023:2309,0.0,0.0,0.0,21.2,5.03,0.0
20231024:0009,0.0,0.0,0.0,21.38,4.9,0.0
20231024:0109,0.0,0.0,0.0,21.41,4.76,0.0
20231024:0209,0.0,0.0,0.0,21.37,4.41,0.0
20231024:0309,0.0,0.0,0.0,21.31,4.28,0.0
20231024:0409,0.0,0.0,0.0,21.28,4.21,0.0
20231024:0509,0.0,0.0,0.0,21.2,4.55,0.0
20231024:0609,0.0,0.0,0.0,21.2,4.97,0.0
20231024:0709,0.0,0.0,0.0,21.23,5.31,0.0
20231024:0809,797.9,221.07,11.44,21.26,5.38,0.0
20231024:0909,1917.1,478.84,23.43,21.37,5.03,0.0
20231024:1009,2799.75,694.81,34.27,21.48,5.38,0.0
20231024:1109,3299.25,826.26,43.14,21.48,5.31,0.0
20231024:1209,3901.2,990.57,48.69,21.48,5.1,0.0
20231024:1309,3889.85,988.94,49.54,21.43,4.97,0.0
20231024:1409,3709.35,937.02,45.4,21.4,5.03,0.0
20231024:1509,3182.0,793.28,37.46,21.45,5.31,0.0
20231024:1609,2362.7,586.2,27.15,21.58,5.66,0.0
20231024:1709,1201.1,315.53,15.47,21.67,5.59,0.0
20231024:1809,26.5,16.69,3.0,21.75,5.66,0.0
20231024:1909,0.0,0.0,0.0,21.83,5.79,0.0
20231024:2009,0.0,0.0,0.0,21.87,5.93,0.0
20231024:2109,0.0,0.0,0.0,21.91,5.93,0.0
20231024:2209,0.0,0.0,0.0,21.87,5.93,0.0
20231024:2309,0.0,0.0,0.0,21.89,5.38,0.0
20231025:0009,0.0,0.0,0.0,21.87,5.31,0.0
20231025:0109,0.0,0.0,0.0,21.85,5.31,0.0
20231025:0209,0.0,0.0,0.0,21.8,5.31,0.0
20231025:0309,0.0,0.0,0.0,21.69,5.38,0.0
20231025:0409,0.0,0.0,0.0,21.67,5.38,0.0
20231025:0509,0.0,0.0,0.0,21.68,5.38,0.0
20231025:0609,0.0,0.0,0.0,21.72,5.38,0.0
20231025:0709,0.0,0.0,0.0,21.78,5.59,0.0
20231025:0809,880.7,243.58,11.27,21.86,5.52,0.0
20231025:0909,1334.05,338.07,23.23,21.93,5.24,0.0
20231025:1009,2859.65,715.52,34.03,22.14,4.69,0.0
20231025:1109,3514.15,889.3,42.85,22.19,4.83,0.0
20231025:1209,3855.2,982.94,48.36,22.25,5.03,0.0
20231025:1309,3955.25,1008.89,49.19,22.27,5.24,0.0
20231025:1409,3488.3,879.21,45.08,22.28,5.52,0.0
20231025:1509,3088.7,771.14,37.18,22.33,5.66,0.0
20231025:1609,2339.05,581.86,26.9,22.35,5.93,0.0
20231025:1709,1103.85,291.67,15.25,22.4,5.79,0.0
20231025:1809,18.6,13.91,2.81,22.42,5.66,0.0
20231025:1909,0.0,0.0,0.0,22.46,5.45,0.0
20231025:2009,0.0,0.0,0.0,22.4,5.45,0.0
20231025:2109,0.0,0.0,0.0,22.37,5.59,0.0
20231025:2209,0.0,0.0,0.0,22.5,4.69,0.0
20231025:2309,0.0,0.0,0.0,22.49,4.97,0.0
20231026:0009,0.0,0.0,0.0,22.49,4.9,0.0
20231026:0109,0.0,0.0,0.0,22.33,4.69,0.0
20231026:0209,0.0,0.0,0.0,22.15,4.41,0.0
20231026:0309,0.0,0.0,0.0,22.05,4.07,0.0
20231026:0409,0.0,0.0,0.0,22.03,4.07,0.0
20231026:0509,0.0,0.0,0.0,21.99,4.21,0.0
20231026:0609,0.0,0.0,0.0,22.02,4.62,0.0
20231026:0709,0.0,0.0,0.0,22.05,5.03,0.0
20231026:0809,598.55,169.58,11.1,22.12,5.38,0.0
20231026:0909,1670.15,419.11,23.03,22.21,5.79,0.0
20231026:1009,2128.85,531.45,33.79,22.08,4.69,0.0
20231026:1109,2005.1,502.05,42.56,22.11,5.03,0.0
20231026:1209,2789.8,699.79,48.03,22.11,5.17,0.0
20231026:1309,3734.3,948.7,48.85,22.13,5.17,0.0
20231026:1409,3581.35,905.91,44.76,22.15,5.1,0.0
20231026:1509,3009.1,754.55,36.9,22.18,4.76,0.0
20231026:1609,2295.6,574.5,26.66,22.21,4.55,0.0
20231026:1709,1174.0,310.65,15.04,22.27,4.55,0.0
20231026:1809,18.6,13.91,2.62,22.36,5.03,0.0
20231026:1909,0.0,0.0,0.0,22.43,5.1,0.0
20231026:2009,0.0,0.0,0.0,22.52,5.17,0.0
20231026:2109,0.0,0.0,0.0,22.61,5.1,0.0
20231026:2209,0.0,0.0,0.0,22.48,5.52,0.0
20231026:2309,0.0,0.0,0.0,22.57,4.76,0.0
20231027:0009,0.0,0.0,0.0,22.63,4.28,0.0
20231027:0109,0.0,0.0,0.0,22.6,4.07,0.0
20231027:0209,0.0,0.0,0.0,22.54,4.14,0.0
20231027:0309,0.0,0.0,0.0,22.45,4.21,0.0
20231027:0409,0.0,0.0,0.0,22.38,4.21,0.0
20231027:0509,0.0,0.0,0.0,22.45,4.28,0.0
20231027:0609,0.0,0.0,0.0,22.48,4.07,0.0
20231027:0709,0.0,0.0,0.0,22.52,4.21,0.0
20231027:0809,741.2,207.87,10.93,22.47,4.28,0.0
20231027:0909,450.8,127.87,22.83,22.6,4.34,0.0
20231027:1009,1140.85,293.59,33.55,22.4,3.93,0.0
20231027:1109,1718.2,434.0,42.27,22.42,4.21,0.0
20231027:1209,3485.85,890.87,47.7,22.37,4.14,0.0
20231027:1309,3592.3,916.95,48.51,22.32,4.48,0.0
20231027:1409,2480.5,621.47,44.45,22.28,4.97,0.0
20231027:1509,3049.85,763.0,36.62,22.25,5.17,0.0
20231027:1609,2303.2,574.47,26.43,22.32,5.31,0.0
20231027:1709,1221.7,322.69,14.84,22.36,5.1,0.0
20231027:1809,13.7,12.05,2.44,22.36,4.9,0.0
20231027:1909,0.0,0.0,0.0,22.37,4.76,0.0
20231027:2009,0.0,0.0,0.0,22.41,4.34,0.0
20231027:2109,0.0,0.0,0.0,22.4,4.21,0.0
20231027:2209,0.0,0.0,0.0,22.53,2.48,0.0
20231027:2309,0.0,0.0,0.0,22.48,2.55,0.0
20231028:0009,0.0,0.0,0.0,22.41,2.34,0.0
20231028:0109,0.0,0.0,0.0,22.32,2.0,0.0
20231028:0209,0.0,0.0,0.0,22.21,2.0,0.0
20231028:0309,0.0,0.0,0.0,22.1,2.14,0.0
20231028:0409,0.0,0.0,0.0,22.06,1.93,0.0
20231028:0509,0.0,0.0,0.0,22.12,1.93,0.0
20231028:0609,0.0,0.0,0.0,22.08,2.07,0.0
20231028:0709,0.0,0.0,0.0,22.13,2.34,0.0
20231028:0809,744.25,209.56,10.76,22.18,2.55,0.0
20231028:0909,1839.8,468.26,22.63,22.19,2.34,0.0
20231028:1009,2677.7,699.85,33.31,22.11,0.55,0.0
20231028:1109,3103.8,807.34,41.99,22.18,1.72,0.0
20231028:1209,3546.6,923.62,47.37,22.06,2.55,0.0
20231028:1309,2425.15,615.8,48.17,21.92,2.9,0.0
20231028:1409,1269.4,326.24,44.13,21.87,2.69,0.0
20231028:1509,1978.0,499.87,36.35,21.89,2.69,0.0
20231028:1609,1096.3,282.83,26.2,21.93,2.9,0.0
20231028:1709,639.25,175.97,14.64,21.95,2.62,0.0
20231028:1809,0.0,4.64,2.26,22.01,2.0,0.0
20231028:1909,0.0,0.0,0.0,21.98,1.52,0.0
20231028:2009,0.0,0.0,0.0,22.03,1.38,0.0
20231028:2109,0.0,0.0,0.0,22.02,1.31,0.0
20231028:2209,0.0,0.0,0.0,21.89,1.1,0.0
20231028:2309,0.0,0.0,0.0,21.87,1.1,0.0
20231029:0009,0.0,0.0,0.0,21.93,0.48,0.0
20231029:0109,0.0,0.0,0.0,21.94,0.21,0.0
20231029:0209,0.0,0.0,0.0,21.94,0.14,0.0
20231029:0309,0.0,0.0,0.0,21.78,0.14,0.0
20231029:0409,0.0,0.0,0.0,21.87,0.41,0.0
20231029:0509,0.0,0.0,0.0,21.87,0.55,0.0
20231029:0609,0.0,0.0,0.0,21.84,0.28,0.0
20231029:0709,0.0,0.0,0.0,21.86,0.41,0.0
20231029:0809,737.6,208.92,10.58,21.9,0.76,0.0
20231029:0909,1721.35,441.36,22.42,22.11,1.38,0.0
20231029:1009,2574.0,657.89,33.07,21.88,1.79,0.0
20231029:1109,3364.5,879.41,41.7,21.99,1.79,0.0
20231029:1209,2640.8,682.0,47.05,21.79,1.52,0.0
20231029:1309,1940.05,501.79,47.84,21.61,0.55,0.0
20231029:1409,1383.75,357.45,43.83,21.24,0.69,0.0
20231029:1509,1204.15,311.51,36.09,21.91,1.45,0.0
20231029:1609,620.2,169.43,25.97,22.13,1.45,0.0
20231029:1709,382.2,111.99,14.44,22.2,1.24,0.0
20231029:1809,0.0,4.64,2.08,22.3,0.9,0.0
20231029:1909,0.0,0.0,0.0,22.46,0.62,0.0
20231029:2009,0.0,0.0,0.0,22.73,0.62,0.0
20231029:2109,0.0,0.0,0.0,22.89,0.69,0.0
20231029:2209,0.0,0.0,0.0,22.32,1.79,0.0
20231029:2309,0.0,0.0,0.0,22.36,1.79,0.0
20231030:0009,0.0,0.0,0.0,22.38,1.17,0.0
20231030:0109,0.0,0.0,0.0,22.43,1.03,0.0
20231030:0209,0.0,0.0,0.0,22.44,0.69,0.0
20231030:0309,0.0,0.0,0.0,22.42,0.69,0.0
20231030:0409,0.0,0.0,0.0,22.41,0.97,0.0
20231030:0509,0.0,0.0,0.0,22.31,1.31,0.0
20231030:0609,0.0,0.0,0.0,21.71,1.66,0.0
20231030:0709,0.0,0.0,0.0,21.43,1.93,0.0
20231030:0809,644.1,183.02,10.41,21.65,2.07,0.0
20231030:0909,1468.5,374.89,22.22,21.71,2.07,0.0
20231030:1009,2540.7,642.16,32.83,22.1,2.9,0.0
20231030:1109,3028.8,771.11,41.42,22.01,3.17,0.0
20231030:1209,2421.1,612.27,46.73,21.81,3.24,0.0
20231030:1309,1440.0,366.78,47.51,21.68,3.38,0.0
20231030:1409,804.4,212.94,43.52,21.65,3.38,0.0
20231030:1509,601.85,164.02,35.82,21.65,3.66,0.0
20231030:1609,902.95,235.75,25.74,21.67,3.52,0.0
20231030:1709,413.5,119.45,14.25,21.72,2.62,0.0
20231030:1809,3.0,7.42,1.91,21.84,1.31,0.0
20231030:1909,0.0,0.0,0.0,21.95,0.41,0.0
20231030:2009,0.0,0.0,0.0,21.95,0.69,0.0
20231030:2109,0.0,0.0,0.0,21.95,0.9,0.0
20231030:2209,0.0,0.0,0.0,22.08,0.83,0.0
20231030:2309,0.0,0.0,0.0,22.13,1.52,0.0
20231031:0009,0.0,0.0,0.0,22.17,2.62,0.0
20231031:0109,0.0,0.0,0.0,22.28,2.76,0.0
20231031:0209,0.0,0.0,0.0,22.37,2.21,0.0
20231031:0309,0.0,0.0,0.0,22.51,1.59,0.0
20231031:0409,0.0,0.0,0.0,22.63,1.1,0.0
20231031:0509,0.0,0.0,0.0,22.75,1.38,0.0
20231031:0609,0.0,0.0,0.0,22.88,1.79,0.0
20231031:0709,0.0,0.0,0.0,23.0,1.79,0.0
20231031:0809,820.75,232.23,10.23,23.14,1.72,0.0
20231031:0909,1858.2,479.01,22.02,23.39,1.52,0.0
20231031:1009,2554.55,657.83,32.59,23.09,1.66,0.0
20231031:1109,3147.55,841.01,41.13,23.22,0.69,0.0
20231031:1209,3462.7,945.58,46.41,23.33,0.48,0.0
20231031:1309,3052.5,799.56,47.18,23.36,1.79,0.0
20231031:1409,1651.15,421.87,43.22,23.34,3.03,0.0
20231031:1509,2259.6,571.0,35.57,23.41,3.72,0.0
20231031:1609,1114.6,287.79,25.52,23.3,4.21,0.0
20231031:1709,602.7,167.39,14.06,23.31,4.9,0.0
20231031:1809,0.0,5.56,1.75,23.09,5.31,0.0
20231031:1909,0.0,0.0,0.0,22.98,4.97,0.0
20231031:2009,0.0,0.0,0.0,22.94,4.07,0.0
20231031:2109,0.0,0.0,0.0,22.79,3.45,0.0
20231031:2209,0.0,0.0,0.0,23.06,2.34,0.0
20231031:2309,0.0,0.0,0.0,23.12,2.62,0.0
20231101:0009,0.0,0.0,0.0,23.05,3.86,0.0
20231101:0109,0.0,0.0,0.0,22.88,3.86,0.0
20231101:0209,0.0,0.0,0.0,22.73,3.38,0.0
20231101:0309,0.0,0.0,0.0,22.55,3.31,0.0
20231101:0409,0.0,0.0,0.0,22.45,3.86,0.0
20231101:0509,0.0,0.0,0.0,22.26,4.28,0.0
20231101:0609,0.0,0.0,0.0,22.25,4.21,0.0
20231101:0709,0.0,0.0,0.0,22.19,4.14,0.0
20231101:0809,633.05,179.81,10.06,22.09,4.41,0.0
20231101:0909,1821.05,457.32,21.81,22.03,4.76,0.0
20231101:1009,2771.65,697.73,32.35,22.26,3.72,0.0
20231101:1109,3424.5,875.99,40.85,22.3,3.52,0.0
20231101:1209,3765.7,969.17,46.1,22.27,3.86,0.0
20231101:1309,3869.0,986.25,46.86,22.19,4.97,0.0
20231101:1409,3673.55,926.43,42.93,22.13,5.52,0.0
20231101:1509,3055.8,761.01,35.31,22.11,5.66,0.0
20231101:1609,2257.25,561.58,25.31,22.18,5.72,0.0
20231101:1709,1093.75,290.34,13.87,22.23,5.52,0.0
20231101:1809,0.0,5.56,1.58,22.34,5.59,0.0
20231101:1909,0.0,0.0,0.0,22.46,5.93,0.0
20231101:2009,0.0,0.0,0.0,22.62,6.21,0.0
20231101:2109,0.0,0.0,0.0,22.67,6.48,0.0
20231101:2209,0.0,0.0,0.0,22.55,5.03,0.0
20231101:2309,0.0,0.0,0.0,22.41,4.69,0.0
20231102:0009,0.0,0.0,0.0,22.25,4.48,0.0
20231102:0109,0.0,0.0,0.0,22.11,4.41,0.0
20231102:0209,0.0,0.0,0.0,21.9,4.41,0.0
20231102:0309,0.0,0.0,0.0,21.76,4.48,0.0
20231102:0409,0.0,0.0,0.0,21.78,4.76,0.0
20231102:0509,0.0,0.0,0.0,21.71,4.83,0.0
20231102:0609,0.0,0.0,0.0,21.64,4.83,0.0
20231102:0709,0.0,0.0,0.0,21.6,4.76,0.0
20231102:0809,635.1,179.84,9.88,21.54,4.76,0.0
20231102:0909,1721.45,432.09,21.61,21.5,4.62,0.0
20231102:1009,2761.05,689.18,32.11,21.2,4.21,0.0
20231102:1109,3416.9,859.64,40.57,21.19,4.69,0.0
20231102:1209,3862.75,972.16,45.78,21.11,5.79,0.0
20231102:1309,3905.9,977.66,46.54,21.02,6.62,0.0
20231102:1409,3466.0,859.27,42.64,20.98,6.9,0.0
20231102:1509,3131.5,770.78,35.06,21.04,7.03,0.0
20231102:1609,2225.65,549.01,25.1,21.3,6.97,0.0
20231102:1709,1120.7,295.61,13.69,21.61,6.9,0.0
20231102:1809,0.0,3.71,1.43,21.82,6.97,0.0
20231102:1909,0.0,0.0,0.0,21.91,6.76,0.0
20231102:2009,0.0,0.0,0.0,21.97,6.14,0.0
20231102:2109,0.0,0.0,0.0,22.06,5.1,0.0
20231102:2209,0.0,0.0,0.0,21.92,4.14,0.0
20231102:2309,0.0,0.0,0.0,21.91,3.72,0.0
20231103:0009,0.0,0.0,0.0,21.94,3.93,0.0
20231103:0109,0.0,0.0,0.0,21.93,4.34,0.0
20231103:0209,0.0,0.0,0.0,21.97,4.9,0.0
20231103:0309,0.0,0.0,0.0,22.01,5.31,0.0
20231103:0409,0.0,0.0,0.0,22.02,5.38,0.0
20231103:0509,0.0,0.0,0.0,22.0,5.59,0.0
20231103:0609,0.0,0.0,0.0,21.99,5.86,0.0
20231103:0709,0.0,0.0,0.0,21.96,6.34,0.0
20231103:0809,382.35,114.06,9.7,22.02,6.21,0.0
20231103:0909,410.7,117.74,21.4,22.13,5.66,0.0
20231103:1009,1592.55,399.37,31.87,22.32,5.79,0.0
20231103:1109,586.4,160.19,40.29,22.17,5.93,0.0
20231103:1209,1634.15,409.85,45.47,21.95,6.69,0.0
20231103:1309,1578.75,395.57,46.23,21.63,7.24,0.0
20231103:1409,1240.55,314.46,42.36,21.44,7.52,0.0
20231103:1509,1516.45,377.8,34.82,21.1,7.79,0.0
20231103:1609,1464.85,364.96,24.89,21.01,7.93,0.0
20231103:1709,678.3,184.09,13.52,20.91,7.17,0.0
20231103:1809,0.0,0.0,0.0,20.82,6.28,0.0
20231103:1909,0.0,0.0,0.0,20.72,5.79,0.0
20231103:2009,0.0,0.0,0.0,20.73,5.86,0.0
20231103:2109,0.0,0.0,0.0,20.68,6.0,0.0
20231103:2209,0.0,0.0,0.0,21.0,4.55,0.0
20231103:2309,0.0,0.0,0.0,20.97,4.21,0.0
20231104:0009,0.0,0.0,0.0,20.92,4.34,0.0
20231104:0109,0.0,0.0,0.0,20.83,4.55,0.0
20231104:0209,0.0,0.0,0.0,20.72,4.69,0.0
20231104:0309,0.0,0.0,0.0,20.62,4.76,0.0
20231104:0409,0.0,0.0,0.0,20.68,4.83,0.0
20231104:0509,0.0,0.0,0.0,20.74,5.1,0.0
20231104:0609,0.0,0.0,0.0,20.72,5.17,0.0
20231104:0709,0.0,0.0,0.0,20.67,5.17,0.0
20231104:0809,392.45,116.29,9.52,20.76,4.97,0.0
20231104:0909,738.9,195.48,21.19,20.85,4.69,0.0
20231104:1009,1835.5,461.05,31.63,21.18,2.97,0.0
20231104:1109,2991.9,755.07,40.02,21.21,3.59,0.0
20231104:1209,3211.4,809.4,45.17,21.21,4.41,0.0
20231104:1309,3726.9,942.88,45.92,21.18,4.97,0.0
20231104:1409,3562.45,893.94,42.08,21.14,5.31,0.0
20231104:1509,3059.9,758.71,34.58,21.1,5.59,0.0
20231104:1609,2229.2,551.82,24.69,21.14,5.79,0.0
20231104:1709,1105.35,292.16,13.35,21.23,5.72,0.0
20231104:1809,0.0,0.0,0.0,21.27,5.59,0.0
20231104:1909,0.0,0.0,0.0,21.34,5.59,0.0
20231104:2009,0.0,0.0,0.0,21.5,5.66,0.0
20231104:2109,0.0,0.0,0.0,21.6,5.38,0.0
20231104:2209,0.0,0.0,0.0,21.74,3.72,0.0
20231104:2309,0.0,0.0,0.0,21.78,3.1,0.0
20231105:0009,0.0,0.0,0.0,21.78,3.24,0.0
20231105:0109,0.0,0.0,0.0,21.74,3.79,0.0
20231105:0209,0.0,0.0,0.0,21.72,4.28,0.0
20231105:0309,0.0,0.0,0.0,21.65,4.41,0.0
20231105:0409,0.0,0.0,0.0,21.58,4.55,0.0
20231105:0509,0.0,0.0,0.0,21.54,4.76,0.0
20231105:0609,0.0,0.0,0.0,21.49,4.97,0.0
20231105:0709,0.0,0.0,0.0,21.36,5.03,0.0
20231105:0809,601.25,171.56,9.34,21.35,4.62,0.0
20231105:0909,1674.8,420.68,20.99,21.43,4.55,0.0
20231105:1009,2296.55,579.32,31.39,21.42,2.48,0.0
20231105:1109,2721.1,689.94,39.74,21.53,2.83,0.0
20231105:1209,3726.4,952.96,44.86,21.54,4.0,0.0
20231105:1309,3616.35,922.65,45.62,21.56,4.07,0.0
20231105:1409,3316.6,841.68,41.8,21.5,3.79,0.0
20231105:1509,2391.05,597.77,34.35,21.6,4.0,0.0
20231105:1609,1451.95,366.26,24.5,21.74,4.41,0.0
20231105:1709,726.95,197.61,13.18,21.71,5.03,0.0
20231105:1809,0.0,0.0,0.0,21.57,5.38,0.0
20231105:1909,0.0,0.0,0.0,21.2,4.9,0.0
20231105:2009,0.0,0.0,0.0,20.66,4.62,0.0
20231105:2109,0.0,0.0,0.0,20.44,5.1,0.0
20231105:2209,0.0,0.0,0.0,20.69,6.55,0.0
20231105:2309,0.0,0.0,0.0,20.64,7.86,0.0
20231106:0009,0.0,0.0,0.0,20.75,8.07,0.0
20231106:0109,0.0,0.0,0.0,20.84,8.14,0.0
20231106:0209,0.0,0.0,0.0,20.88,7.79,0.0
20231106:0309,0.0,0.0,0.0,20.83,7.38,0.0
20231106:0409,0.0,0.0,0.0,20.76,6.76,0.0
20231106:0509,0.0,0.0,0.0,20.65,6.55,0.0
20231106:0609,0.0,0.0,0.0,20.54,6.48,0.0
20231106:0709,0.0,0.0,0.0,20.44,6.41,0.0
20231106:0809,253.3,79.94,9.16,20.6,6.28,0.0
20231106:0909,553.0,150.97,20.78,20.72,6.41,0.0
20231106:1009,719.25,190.44,31.15,21.01,8.14,0.0
20231106:1109,1977.6,487.49,39.47,21.03,7.93,0.0
20231106:1209,1743.35,432.62,44.56,21.03,8.0,0.0
20231106:1309,2934.8,721.75,45.32,21.0,8.07,0.0
20231106:1409,2725.55,667.79,41.53,20.92,8.41,0.0
20231106:1509,2672.05,651.64,34.12,20.9,8.83,0.0
20231106:1609,1708.1,421.3,24.31,20.83,8.83,0.0
20231106:1709,261.5,80.62,13.02,20.68,8.97,0.0
20231106:1809,0.0,0.0,0.0,20.47,9.31,0.0
20231106:1909,0.0,0.0,0.0,20.26,9.79,0.0
20231106:2009,0.0,0.0,0.0,20.39,10.0,0.0
20231106:2109,0.0,0.0,0.0,20.52,9.79,0.0
20231106:2209,0.0,0.0,0.0,20.54,9.45,0.0
20231106:2309,0.0,0.0,0.0,20.51,9.59,0.0
20231107:0009,0.0,0.0,0.0,20.43,9.17,0.0
20231107:0109,0.0,0.0,0.0,20.41,9.1,0.0
20231107:0209,0.0,0.0,0.0,20.4,8.83,0.0
20231107:0309,0.0,0.0,0.0,20.38,9.31,0.0
20231107:0409,0.0,0.0,0.0,20.36,9.72,0.0
20231107:0509,0.0,0.0,0.0,20.36,9.79,0.0
20231107:0609,0.0,0.0,0.0,20.36,9.45,0.0
20231107:0709,0.0,0.0,0.0,20.35,9.38,0.0
20231107:0809,229.55,73.53,8.98,20.32,9.24,0.0
20231107:0909,391.65,112.03,20.58,20.36,9.17,0.0
20231107:1009,447.8,125.66,30.91,20.45,8.14,0.0
20231107:1109,1865.95,458.86,39.19,20.44,8.76,0.0
20231107:1209,1383.55,346.01,44.27,20.42,9.03,0.0
20231107:1309,3560.3,874.36,45.03,20.39,8.76,0.0
20231107:1409,3495.05,857.55,41.26,20.38,8.34,0.0
20231107:1509,2066.35,506.0,33.89,20.45,8.21,0.0
20231107:1609,1987.45,487.63,24.12,20.51,8.34,0.0
20231107:1709,550.6,152.39,12.87,20.56,8.28,0.0
20231107:1809,0.0,0.0,0.0,20.53,8.55,0.0
20231107:1909,0.0,0.0,0.0,20.53,8.9,0.0
20231107:2009,0.0,0.0,0.0,20.48,9.31,0.0
20231107:2109,0.0,0.0,0.0,20.48,9.38,0.0
20231107:2209,0.0,0.0,0.0,20.59,9.79,0.0
20231107:2309,0.0,0.0,0.0,20.69,8.9,0.0
20231108:0009,0.0,0.0,0.0,20.73,8.76,0.0
20231108:0109,0.0,0.0,0.0,20.75,8.69,0.0
20231108:0209,0.0,0.0,0.0,20.68,8.83,0.0
20231108:0309,0.0,0.0,0.0,20.64,9.03,0.0
20231108:0409,0.0,0.0,0.0,20.64,9.03,0.0
20231108:0509,0.0,0.0,0.0,20.66,8.9,0.0
20231108:0609,0.0,0.0,0.0,20.56,8.69,0.0
20231108:0709,0.0,0.0,0.0,20.48,8.34,0.0
20231108:0809,349.95,105.33,8.8,20.51,7.86,0.0
20231108:0909,1375.85,344.34,20.37,20.57,7.52,0.0
20231108:1009,2197.7,538.39,30.68,20.61,7.45,0.0
20231108:1109,2827.2,694.28,38.92,20.66,7.31,0.0
20231108:1209,3374.2,832.03,43.98,20.59,7.66,0.0
20231108:1309,3273.25,805.42,44.74,20.7,8.14,0.0
20231108:1409,3175.45,779.62,41.0,20.78,8.14,0.0
20231108:1509,2389.0,584.43,33.67,20.83,8.14,0.0
20231108:1609,1899.95,468.13,23.94,20.89,7.86,0.0
20231108:1709,819.45,219.4,12.72,20.94,7.59,0.0
20231108:1809,0.0,0.0,0.0,20.93,7.45,0.0
20231108:1909,0.0,0.0,0.0,20.88,7.79,0.0
20231108:2009,0.0,0.0,0.0,20.92,8.34,0.0
20231108:2109,0.0,0.0,0.0,20.96,8.48,0.0
20231108:2209,0.0,0.0,0.0,21.51,8.62,0.0
20231108:2309,0.0,0.0,0.0,21.53,8.21,0.0
20231109:0009,0.0,0.0,0.0,21.37,7.66,0.0
20231109:0109,0.0,0.0,0.0,21.31,7.38,0.0
20231109:0209,0.0,0.0,0.0,21.26,7.45,0.0
20231109:0309,0.0,0.0,0.0,21.25,7.38,0.0
20231109:0409,0.0,0.0,0.0,21.29,7.38,0.0
20231109:0509,0.0,0.0,0.0,21.24,7.24,0.0
20231109:0609,0.0,0.0,0.0,21.23,6.97,0.0
20231109:0709,0.0,0.0,0.0,21.3,7.03,0.0
20231109:0809,608.9,173.93,8.62,21.41,7.03,0.0
20231109:0909,1648.45,411.51,20.16,21.48,6.97,0.0
20231109:1009,2384.95,585.2,30.44,21.21,7.38,0.0
20231109:1109,3353.7,830.75,38.66,21.33,6.83,0.0
20231109:1209,3291.35,820.8,43.69,21.36,6.07,0.0
20231109:1309,3744.85,940.57,44.45,21.43,6.0,0.0
20231109:1409,3600.05,898.44,40.75,21.41,6.28,0.0
20231109:1509,3016.5,745.63,33.46,21.43,6.34,0.0
20231109:1609,2217.25,548.01,23.76,21.43,6.62,0.0
20231109:1709,1029.8,273.22,12.57,21.39,6.69,0.0
